poemId,emotion,le_prob,ai_prob,xi_prob,nu/hao_prob,si_prob
1,思,0.0702,0.002,0.0147,0.0472,0.4642
2,哀,0.2865,0.5847,0.0046,0.037,0.2392
3,乐,0.5401,0.0539,0.1134,0.0145,0.1579
4,哀,0.1815,0.4244,0.0046,0.0161,0.2511
5,思,0.3285,0.3341,0.0523,0.0005,0.601
6,哀,0.0109,0.9274,0.012,0.0212,0.1996
7,哀,0.0259,0.7772,0.0954,0.1176,0.0137
8,喜,0.1166,0.0141,0.6758,0.0592,0.4527
9,哀,0.163,0.885,0.0042,0.0044,0.3202
10,乐,0.437,0.09,0.0644,0.0113,0.1271
11,哀,0.0855,0.9591,0.0107,0.004,0.0231
12,"哀, 思",0.0395,0.8713,0.0245,0.3603,0.9371
13,乐,0.8675,0.1316,0.0033,0.0016,0.1597
14,哀,0.2715,0.437,0.0373,0.0198,0.0503
15,哀,0.0112,0.9636,0.0011,0.1743,0.071
16,"哀, 思",0.0118,0.9556,0.0053,0.0077,0.5822
17,哀,0.2289,0.4263,0.0273,0.0069,0.0484
18,乐,0.5485,0.0163,0.0192,0.0047,0.2992
19,喜,0.2183,0.0646,0.2798,0.0542,0.0388
20,哀,0.0389,0.8801,0.0151,0.2049,0.0641
21,思,0.0061,0.1934,0.0082,0.0234,0.8665
22,乐,0.2934,0.102,0.1124,0.0698,0.0131
23,思,0.0884,0.3211,0.0935,0.0191,0.5965
24,哀,0.0068,0.9832,0.0003,0.0181,0.2908
25,哀,0.0225,0.9756,0.0117,0.0006,0.0143
26,思,0.1045,0.0106,0.0096,0.0003,0.9157
27,思,0.1763,0.108,0.0355,0.0032,0.976
28,哀,0.0052,0.9967,0.0019,0.0357,0.0375
29,哀,0.0029,0.9999,0.0004,0.1259,0.0168
30,哀,0.1321,0.5729,0.0023,0.0005,0.2879
31,思,0.032,0.4954,0.0129,0.0413,0.655
32,"哀, 思",0.0352,0.8517,0.0043,0.0008,0.5856
33,乐,0.858,0.0029,0.024,0.0067,0.4183
34,哀,0.012,0.9941,0.0014,0.0179,0.0664
35,喜,0.4448,0.4131,0.9579,0.4582,0.0708
36,哀,0.0535,0.9676,0.0022,0.0005,0.0782
37,思,0.0841,0.0224,0.0998,0.072,0.1342
38,乐,0.5928,0.382,0.0345,0.0016,0.1644
