poemId,allTopics,allProbabilities,topics,topicWords,topicProbabilities
1,"0,1,2,3","0.8862,0.0375,0.0372,0.0392","1,0,3","""光, 鄭重""，""箋, 金""，""揮灑, 雲霞""","0.89,0.04,0.04"
2,"0,1,2,3","0.0220,0.0222,0.0220,0.9338","3,1,0,2","""天, 山, 晴, 暮, 林, 樹, 蟬, 鳥""，""遠浦""，""歸""，""瑞彩""","0.02,0.02,0.02,0.93"
3,"0,1,2,3","0.1771,0.0238,0.0244,0.7747","2,0,1,3","""轉眼""，""初夏, 庭前, 歲月, 落花, 風, 魚""，""池畔""，""新, 門外""","0.18,0.02,0.02,0.77"
4,"0,1,2,3","0.0169,0.0162,0.3147,0.6521","3,0,2","""妬, 綽約, 芙蕖, 輕盈, 雨, 香""，""夕陽, 官, 歌聲, 芬芳, 風""，""國色, 妝, 翻新, 花叢""","0.02,0.31,0.65"
5,"0,1,2,3","0.1562,0.3392,0.0217,0.4829","0,3,1","""冷, 玉鉤, 窗外, 風""，""山, 影, 萬象, 雲""，""白光, 碧池, 秋色""","0.16,0.34,0.48"
6,"0,1,2,3","0.9204,0.0258,0.0268,0.0270","3,0,1,2","""人, 苔""，""冷, 婦, 感, 闌, 風""，""秋""，""娘""","0.92,0.03,0.03,0.03"
7,"0,1,2,3","0.0397,0.0368,0.0365,0.8870","3,0","""新, 水, 浪, 生""，""雁, 雞""","0.04,0.89"
8,"0,1,2,3","0.4555,0.0236,0.2020,0.3189","3,0,2","""斜陽, 新, 美人, 芙蓉""，""君, 獨, 風""，""妝, 濃淡, 艷色""","0.46,0.20,0.32"
9,"0,1,2,3","0.0226,0.0218,0.0225,0.9331","2,3,0","""滂沱, 良夜, 雨氣""，""人, 和, 竹, 蛙""，""冷, 夢, 客, 蕭蕭""","0.02,0.02,0.93"
10,"0,1,2,3","0.7971,0.1645,0.0189,0.0195","1,3,2,0","""光, 天際, 殘照, 翠霞, 連雲""，""暮, 樹, 雨, 鳥""，""晴空""，""憑欄, 花, 長笛""","0.80,0.16,0.02,0.02"
11,"0,1,2,3","0.3987,0.0164,0.0162,0.5687","1,3,0","""光, 天際, 秋色""，""山, 影, 林, 遙望, 雲, 鳥""，""冷, 情, 泉, 無限, 石, 童""","0.40,0.02,0.57"
12,"0,1,2,3","0.0293,0.0292,0.5381,0.4034","0,3,2","""蒼茫""，""天, 岫, 銀河""，""水際, 波光, 瑞彩, 縹渺""","0.03,0.54,0.40"
13,"0,1,2,3","0.0178,0.2535,0.0173,0.7114","0,1,3","""夕陽, 帆""，""天際, 極目, 江, 漁, 秋, 紅葉, 茫茫""，""林, 水, 火, 翠, 雲""","0.02,0.25,0.71"
14,"0,1,2,3","0.0213,0.0206,0.5192,0.4389","0,3,2,1","""夕陽, 寒, 歸, 鴻""，""楊枝, 樹, 荒山, 鳥""，""晴空, 江天""，""光, 影射""","0.02,0.02,0.52,0.44"
15,"0,1,2,3","0.5222,0.0273,0.0266,0.4239","1,3,2,0","""孤舟""，""人, 新, 暮, 魂""，""瀟瀟""，""夢, 花, 飄泊""","0.52,0.03,0.03,0.42"
16,"0,1,2,3","0.9397,0.0199,0.0196,0.0207","0,3,1","""二月, 思, 花, 落葉, 風, 鴻""，""和, 天, 林, 樹""，""秋""","0.94,0.02,0.02"
17,"0,1,2,3","0.0379,0.0375,0.0367,0.8879","3,1,0,2","""天, 秋水""，""光""，""涼風""，""滿目""","0.04,0.04,0.04,0.89"
18,"0,1,2,3","0.0263,0.5194,0.0258,0.4285","1,3,0","""光, 天際, 山秋, 橫空, 笛""，""影, 樹, 露珠""，""鴉""","0.03,0.52,0.43"
19,"0,1,2,3","0.2295,0.2382,0.0266,0.5056","2,0,3,1","""寒煙""，""夕陽, 客, 歸, 鴉""，""山, 樹, 浪""，""漁笛""","0.23,0.24,0.03,0.51"
20,"0,1,2,3","0.2400,0.0168,0.0163,0.7269","0,1,3","""夕陽, 寒, 帆, 扁舟, 鴻""，""天際, 急, 漁, 秋""，""天, 水, 火, 雲, 靑山, 魂""","0.24,0.02,0.73"
21,"0,1,2,3","0.5289,0.0185,0.0183,0.4343","3,0","""天, 新, 細雨, 蝶, 香, 馥馥""，""春, 柳, 梅, 歸, 落暉, 階, 雁""","0.53,0.43"
22,"0,1,2,3","0.0178,0.0171,0.1906,0.7745","2,3,0","""夜露, 東風, 檢點, 花叢""，""妬, 新, 枝頭, 玉, 玲瓏, 珠, 翠, 錯落, 香""，""淚""","0.02,0.19,0.77"
23,"0,1,2,3","0.9170,0.0258,0.0274,0.0298","3,0,2","""影, 眉, 雲, 香""，""參差, 簾, 花, 風""，""碧水""","0.92,0.03,0.03"
24,"0,1,2,3","0.7696,0.0202,0.0203,0.1899","2,3,0,1","""庭花, 窗前""，""人, 柔腸, 香""，""心, 思, 愁, 無限, 畏, 關山""，""明月""","0.77,0.02,0.02,0.19"
25,"0,1,2,3","0.9194,0.0275,0.0269,0.0262","1,0,2","""幽境, 極目""，""春, 柳, 聞聲, 花, 馬蹄""，""萌芽, 郊外""","0.92,0.03,0.03"
26,"0,1,2,3","0.0873,0.0220,0.0223,0.8685","0,3,1,2","""寒, 春, 杜宇, 柳""，""天, 庾嶺, 草色, 零落, 韶華""，""變遷""，""曲徑""","0.09,0.02,0.02,0.87"
27,"0,1,2,3","0.3731,0.0198,0.5621,0.0450","0,3,2,1","""可憐, 徘徊, 花""，""人, 妬, 香, 馥郁""，""塵埃, 狼藉, 綠苔, 錦繡""，""風雨""","0.37,0.02,0.56,0.04"
28,"0,1,2,3","0.9285,0.0235,0.0239,0.0241","2,0,3","""新燕""，""夢, 寒食, 春, 柳, 泥, 簾, 落花""，""影, 香""","0.93,0.02,0.02"
29,"0,1,2,3","0.0197,0.0187,0.0183,0.9433","2,0,3,1","""春色""，""恨, 愁, 歸, 絲絲, 舊""，""新, 楊柳, 煙籠, 縷縷, 翠, 雨""，""孤舟""","0.02,0.02,0.02,0.94"
30,"0,1,2,3","0.0327,0.4745,0.0333,0.4595","1,3,0,2","""尙可, 焚香, 超然""，""仙, 山""，""心""，""天籟""","0.03,0.47,0.03,0.46"
31,"0,1,2,3","0.0334,0.0322,0.0317,0.9027","3,0","""暑, 秋意, 蟬, 雲, 風聲""，""悲, 情""","0.03,0.90"
32,"0,1,2,3","0.7736,0.0275,0.1729,0.0260","1,0,2","""冷艷, 嫩白, 秋""，""寒露, 瀟灑, 花, 風""，""新紅, 錦繡""","0.77,0.03,0.17"
33,"0,1,2,3","0.0261,0.0266,0.0257,0.9217","3,1","""新, 暑, 書樓, 梧葉, 生, 荏苒, 雨""，""流光, 秋""","0.03,0.92"
34,"0,1,2,3","0.9205,0.0272,0.0256,0.0266","1,0,3","""疎桐, 秋""，""今夜, 冷, 明珠, 西風, 階""，""無聲, 玉""","0.92,0.03,0.03"
35,"0,1,2,3","0.6084,0.3431,0.0242,0.0243","1,2,0,3","""應有, 明月, 窗下, 黃金""，""深秋""，""夜, 獨, 碧玉, 風""，""香""","0.61,0.34,0.02,0.02"
36,"0,1,2,3","0.4112,0.5533,0.0174,0.0181","0,3,2,1","""冷, 宵, 寒, 簾, 風""，""和, 雨""，""瀟瀟""，""光, 慕, 旅客, 書窗, 秋, 閃爍""","0.41,0.55,0.02,0.02"
37,"0,1,2,3","0.0211,0.0206,0.0201,0.9381","0,3,2,1","""泉, 渡口, 白雲, 薄暮""，""人, 天, 寺, 影, 林, 船""，""翠竹""，""漁""","0.02,0.02,0.02,0.94"
38,"0,1,2,3","0.3843,0.1851,0.0143,0.4163","0,1,3","""夜, 客, 寒, 柳, 西風, 雁, 鴉""，""江, 漁, 無涯, 秋, 蘆""，""唱, 新月, 水, 浪, 靑山""","0.38,0.19,0.42"
39,"0,1,2,3","0.4145,0.0243,0.0231,0.5380","0,1,3","""悲, 涼風, 花, 階, 雁""，""急, 秋""，""暑, 池, 蟬""","0.41,0.02,0.54"
40,"0,1,2,3","0.0306,0.0306,0.0304,0.9084","1,2,3,0","""淒淒, 風雨""，""寒聲, 白衣""，""晴, 樹, 秋意""，""菊花""","0.03,0.03,0.03,0.91"
41,"0,1,2,3","0.6192,0.3232,0.0283,0.0292","0,1","""夜, 寒風, 幽香, 籬, 菊""，""光, 秋, 領略""","0.62,0.32"
42,"0,1,2,3","0.0203,0.0200,0.0215,0.9381","1,3,0,2","""秋""，""新, 淩波, 翠, 隔斷, 零落""，""夕陽, 夢, 風""，""妝, 殘紅, 金塘""","0.02,0.02,0.02,0.94"
43,"0,1,2,3","0.8262,0.0221,0.0226,0.1291","0,2,3,1","""寒, 春, 韶光, 風""，""地脈, 轉眼""，""和, 樹, 歲歲, 麗日""，""天津""","0.83,0.02,0.02,0.13"
